"","X.2","X.1","X","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Plant.species.family","Plant.species","Pollinator.variable.measure","Reproductive.succes.measure","Response","Nc.visits","Nt.visits","Escala_visitas","Nc.sp..Poll","Nt.sp..Poll","Obs.Exp","N","Escala.N","N.control","N.treat","Measure.used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas.C","Visitas.T","Unidad.de.tiempo.de.visitas","Country","Obs","Tiempo.muestreo","Genus","logRR_manual","SD_C","SD_T","cv_c","cv_t","yi","vi","Guild_sp","Exp_no.exp","Managed_Wild","Vert_Invert","Diurn_Noctur","Flying_Noflying","Cultivo","Biomes","Flower_color","Flower_sex","Flower_sexual_self-incompatibility_mechanism","Plant_mating_system","Flower_insemination_autogamous_or_xenogamous","Species_reproduction_type","Flower_corolla_type","Flower_colour","Breeding_system","Sex_or_flower_type","IMPUTED_Compatibility","Flower_morphology","Flowers_per_plant","Autonomous_selfing_level"
"1",1,1,73,"163",10,1,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Asphodelaceae","Aloe plegerae","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,38.3,16.9,NA,3.1,3.2,NA,NA,NA,"South Africa",NA,NA,"Aloe",0.818136274257573,13.5125867249761,13.9484766193302,0.352809052871438,0.825353646114211,-1.52564259396644,0.13588928058585,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,74,NA,10,2,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Asphodelaceae","Aloe plegerae","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,40,12,"%",6.25,3.58,NA,NA,NA,"South Africa",NA,NA,"Aloe",1.20397280432594,27.2431183971292,15.6048582178756,0.68107795992823,1.30040485148963,-1.23475825735761,0.1253240520278,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,3,75,NA,10,3,"Arena, Gina; Symes, Craig T.; Witkowski, E. T. F.",2013,"The birds and the seeds: opportunistic avian nectarivores enhance reproduction in an endemic montane aloe","10.1007/s11258-012-0144-z","Pretoria","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Asphodelaceae","Aloe plegerae","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Obs",38,NA,19,19,NA,NA,NA,3869,497,NA,519,139,NA,NA,NA,"South Africa",NA,NA,"Aloe",2.05216132860388,2262.26855169761,605.886953152154,0.584716606797004,1.21908843692586,-1.99341168910142,0.157548554766397,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,76,"172",11,1,"Arizaga, S.; Ezcurra, E.; Peters, E.; de Arellano, F. R.; Vega, E.",2000,"Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators","10.2307/2657001","Zapotitlán Salinas","Deserts & Xeric Shrublands","Shrubland","Vertebrate Nocturnal flying exclusion","all visitors","Agavaceae","Agave macroacantha","Pollinator guild diversity","seed set","positive",NA,NA,NA,NA,NA,"Exp",6,NA,3,3,NA,NA,NA,126.06,62.28,NA,31.34,9.07,NA,NA,NA,"Mexico",NA,NA,"Agave",0.705117637119167,54.2824723092086,15.7097008246497,0.43060822076161,0.252243108937857,-1.27354463814752,0.801826328779525,"Guild",FALSE,"Wild","Vertebrate","Nocturnal","Flying","No_crop","Deserts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,5,77,NA,11,2,"Arizaga, S.; Ezcurra, E.; Peters, E.; de Arellano, F. R.; Vega, E.",2000,"Pollination ecology of Agave macroacantha (Agavaceae) in a Mexican tropical desert. II. The role of pollinators","10.2307/2657001","Zapotitlán Salinas","Deserts & Xeric Shrublands","Shrubland","Vertebrate Nocturnal flying exclusion","all visitors","Agavaceae","Agave macroacantha","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",6,NA,3,3,NA,NA,NA,16.39,12.12,NA,1.54,3.71,NA,NA,NA,"Mexico",NA,NA,"Agave",0.30181441211457,2.66735824365607,6.42590849608053,0.162743028899089,0.530190469973641,-0.692513751252352,0.706631274639467,"Guild",FALSE,"Wild","Vertebrate","Nocturnal","Flying","No_crop","Deserts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,6,86,"201",14,1,"Aslan, Clare E.",2015,"Pollination of the Endangered Arizona Hedgehog Cactus (Echinocereus arizonicus)","10.1674/0003-0031-173.1.61","Arizona","Deserts & Xeric Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Cactaceae","Echinocereus arizonicus","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",13,NA,6.5,6.5,NA,NA,NA,48.7,0.07,"%",28.2,0.09,NA,NA,NA,"USA",NA,NA,"Echinocereus",6.54493906702132,18.6521,0.03269,NA,NA,-3.42890178197902,0.759898747325342,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Deserts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,103,NA,NA,2,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","sp.1HB","sp2.HB","Rosaceae","Prunus dulcis","Bee species richness","fruit set","positive",NA,NA,NA,"2","1","Exp",16,"tree",8,8,NA,NA,NA,30.58,22.05,"%",5,3,NA,NA,NA,"USA",NA,NA,"Prunus",0.327033598608061,14.142135623731,8.48528137423857,0.462463558656996,0.384820016972271,-0.691422642168875,0.264939539690743,"Species",TRUE,"Managed","Invertebrate",NA,"Flying","No_crop","Temperate","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"8",8,8,104,NA,NA,3,"Brittain, Claire; Williams, Neal; Kremen, Claire; Klein, Alexandra-Maria",2013,"Synergistic effects of non-Apis bees and honey bees for pollination services","10.1098/rspb.2012.2767","California","Temperate Grasslands, Savannas & Shrublands","Experimental","sp1","sp2.HB","Rosaceae","Prunus dulcis","Bee species richness","fruit set","positive",NA,NA,NA,"2","1","Exp",16,"tree",8,8,NA,NA,NA,30.58,14.95,"%",5,2,NA,NA,NA,"USA",NA,NA,"Prunus",0.715634900664221,14.142135623731,5.65685424949238,0.462463558656996,0.378384899631597,-1.37181012450084,0.308808219302594,"Species",TRUE,"Managed","Invertebrate",NA,"Flying","No_crop","Temperate","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"9",11,11,118,"568",28,1,"Carpenter, F. L.",1976,"PLANT-POLLINATOR INTERACTIONS IN HAWAII - POLLINATION ENERGETICS OF METROSIDEROS-COLLINA (MYRTACEAE)","10.2307/1935040","Hawaii","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Myrtaceae","Metrosideros collina","Pollinator guild diversity","seed set %","positive",NA,NA,NA,NA,NA,"Exp",48,NA,26,22,NA,NA,NA,55.3,38.9,"%",4.41,5.48,NA,NA,NA,"USA",NA,NA,"Metrosideros",0.351778657903889,22.4866760549442,25.7034783638324,0.406630670071323,0.660757798556103,-0.67187611670754,0.0886183497098548,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,12,119,"585",29,1,"Carvalheiro, Luisa G.; Seymour, Colleen L.; Veldtman, Ruan; Nicolson, Susan W.",2010,"Pollination services decline with distance from natural habitat even in biodiversity-rich areas","10.1111/j.1365-2664.2010.01829.x","NE South Africa","Tropical & Subtropical Grasslands, Savannas & Shrublands","Agricultural","Invertebrate flying exclusion","flying pollinators","Anacardiaceae","Mangifera indica","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",73,"inflorescence",42,31,NA,NA,NA,100,57,"%",NA,NA,NA,NA,NA,"South Africa",NA,NA,"Mangifera",0.562118918153542,38.3,26.619,NA,NA,-1.25647911725256,0.0668808744358705,"Guild",FALSE,"Wild","Invertebrate",NA,"Flying","Crop","Tropical","o_y","","","","","","free",NA,"",NA,"",NA,NA,NA
"11",13,13,121,NA,NA,2,"Celebrezze, T.; Paton, D. C.",2004,"Do introduced honeybees (Apis mellifera, Hymenoptera) provide full pollination service to bird-adapted Australian plants with small flowers? An experimental study of Brachyloma ericoides (Epacridaceae)","10.1111/j.1442-9993.2003.01328.x","Cox Scrub Conservation Park","Temperate Broadleaf & Mixed Forests","Shrubland","Vertebrate Diurnal flying exclusion","all visitors","Epacridaceae","Brachyloma ericoides","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",18,NA,10,8,NA,NA,NA,21,12.3,"%",2,2,NA,NA,NA,"Australia",NA,NA,"Brachyloma",0.534923175345051,6.32455532033676,5.65685424949238,0.301169300968417,0.459906849552226,-1.37127813316319,0.277233436624764,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,14,123,"681",32,1,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7","Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",6,"replicates",3,3,NA,NA,NA,100,57,"%",NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Cucumis",0.562118918153542,38.3,26.619,NA,NA,-1.04027424840702,0.756847542658233,"Species",TRUE,"Wild","Invertebrate",NA,"Flying","Crop","Deserts","","","","allogamy","","","",NA,"",NA,"",NA,NA,NA
"13",15,15,124,NA,NA,2,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12","Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",6,"replicates",3,3,NA,NA,NA,121.19,75.1,NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Cucumis",0.478539003210306,46.41577,35.0717,NA,NA,-0.893959521627898,0.733263635525765,"Species",TRUE,"Wild","Invertebrate",NA,"Flying","Crop","Deserts","","","","allogamy","","","",NA,"",NA,"",NA,NA,NA
"14",16,16,125,NA,NA,3,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7","Rosaceae","Prunus cerasus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",100,"flower",50,50,NA,NA,NA,30.8,12.06,"%",NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Prunus",0.93762049868049,11.7964,5.63202,NA,NA,-2.01186683935539,0.0602380408964893,"Species",TRUE,"Wild","Invertebrate",NA,"Flying","Crop","Deserts","w_wp","hermaphroditic","self-compatibel species","amphimicitc, sexual, allogamy","facultative allogamous","mostly by seed, rarely vegetatively","",NA,"hermaphrodite",NA,"self_compatible",NA,NA,NA
"15",17,17,126,NA,NA,4,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12","Rosaceae","Prunus cerasus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",21,"fruit",15,6,NA,NA,NA,2.36,2.09,NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Prunus",0.121497553060799,0.90388,0.97603,NA,NA,-0.280671419190836,0.2352089629893,"Species",TRUE,"Wild","Invertebrate",NA,"Flying","Crop","Deserts","w_wp","hermaphroditic","self-compatibel species","amphimicitc, sexual, allogamy","facultative allogamous","mostly by seed, rarely vegetatively","",NA,"hermaphrodite",NA,"self_compatible",NA,NA,NA
"16",18,18,131,"723",35,1,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors","Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,21.6,19.5,"%",4.05,5.42,NA,NA,NA,"South Africa",NA,NA,"Kumara",0.102278849120419,16.6985777837515,22.3472324908477,0.773082304803311,1.14601192260758,-0.103939648771795,0.117805933096865,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Both","No_crop","Mediterranean","o_y","","","","","","(partly) united",NA,"",NA,"",NA,NA,NA
"17",19,19,132,NA,NA,2,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors","Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","seed set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,15,12.07,NA,1.95,2.5,NA,NA,NA,"South Africa",NA,NA,"Kumara",0.21732716599277,8.04005596995444,10.3077640640442,0.536003731330296,0.853998679705398,-0.30947473959418,0.119055509035984,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Both","No_crop","Mediterranean","o_y","","","","","","(partly) united",NA,"",NA,"",NA,NA,NA
"18",20,20,133,"741",36,1,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2561,NA,1561,1000,NA,NA,NA,1.9,0.3,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",1.84582669049833,0.7277,0.1401,NA,NA,-2.78239695597714,0.00315208176521132,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"19",21,21,134,NA,NA,2,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2561,NA,1561,1000,NA,NA,NA,1.9,1.4,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.305381649551182,0.7277,0.6538,NA,NA,-0.714301180074052,0.00174022962839452,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"20",22,22,135,NA,NA,3,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",44,NA,30,14,NA,NA,NA,8.8,3.3,NA,2.11,1.57,NA,NA,NA,"Brazil",NA,NA,"Inga",0.980829253011726,11.556945963359,5.87440209723509,1.31328931401807,1.780121847647,-0.532436030204264,0.107983360742128,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"21",23,23,136,NA,NA,4,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",33,NA,30,3,NA,NA,NA,8.8,8.2,NA,2.11,3.12,NA,NA,NA,"Brazil",NA,NA,"Inga",0.0706175672139535,11.556945963359,5.4039985196149,1.31328931401807,0.659024209709134,-0.0519758254718044,0.366707598279295,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical","w_wp","","","","","","",NA,"",NA,"",NA,NA,NA
"22",24,24,137,NA,NA,5,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2493,NA,1493,1000,NA,NA,NA,1.1,0.2,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",1.70474809223843,0.4213,0.0934,NA,NA,-2.71513727559245,0.00314832634457394,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",25,25,138,NA,NA,6,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2493,NA,1493,1000,NA,NA,NA,0.011,0.01,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.0953101798043248,0.004213,0.00467,NA,NA,-0.22710214997336,0.00168013640498528,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",26,26,139,NA,NA,7,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",19,NA,17,2,NA,NA,NA,8.8,6.5,NA,2.48,3.53,NA,NA,NA,"Brazil",NA,NA,"Inga",0.30294954458257,10.2253019515318,4.99217387517703,1.16196613085589,0.768026750027235,-0.219815946569578,0.560095083368772,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",27,27,140,NA,NA,8,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",27,NA,17,10,NA,NA,NA,8.8,10.8,NA,2.48,2.44,NA,NA,NA,"Brazil",NA,NA,"Inga",-0.204794412646013,10.2253019515318,7.71595749081085,1.16196613085589,0.714440508408412,0.206320048715193,0.159611825013651,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",28,28,141,NA,NA,9,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2434,NA,1447,987,NA,NA,NA,1.5,0.2,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",2.01490302054226,0.5745,0.0934,NA,NA,-2.90762394916553,0.00344096063156208,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",29,29,142,NA,NA,10,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2406,NA,1447,959,NA,NA,NA,0.015,0.0136,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.0979804083602032,0.005745,0.0063512,NA,NA,-0.233496964648041,0.00174516805234332,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",30,30,143,NA,NA,11,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",24,NA,22,2,NA,NA,NA,7.1,5,NA,1.54,2.83,NA,NA,NA,"Brazil",NA,NA,"Inga",0.350656871613169,7.22324027012808,4.00222438151586,1.01735778452508,0.800444876303172,-0.285211807892342,0.547149249107904,"Guild",FALSE,"Wild",NA,"Nocturnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",31,31,144,NA,NA,12,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","Fabaceae","Inga ingoides","Pollinator species diversity","seed set","negative",NA,NA,NA,"33","17","Exp",35,NA,22,13,NA,NA,NA,7.1,8.4,NA,1.54,2.93,NA,NA,NA,"Brazil",NA,NA,"Inga",-0.168136921801998,7.22324027012808,10.5642652371095,1.01735778452508,1.25765062346542,0.14787109807441,0.122689991829704,"Guild",FALSE,"Wild",NA,"Diurnal",NA,"No_crop","Tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",32,32,145,"752",38,1,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate Diurnal flying exclusion","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",83,NA,45,38,NA,NA,NA,55.5,34.8,"%",0.54,0.65,NA,NA,NA,"Australia",NA,NA,"Banksia",0.46676563397196,3.62243012354966,4.00686910192983,0.065269011235129,0.115139916722122,-5.39268481679732,0.22372505707733,"Guild",FALSE,"Wild","Vertebrate","Diurnal","Flying","No_crop","Temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",33,33,146,NA,NA,2,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate No-flying exclusion","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",88,NA,45,43,NA,NA,NA,55.5,44.9,NA,0.54,0.67,NA,NA,NA,"Australia",NA,NA,"Banksia",0.21194522600418,3.62243012354966,4.39348381128234,0.065269011235129,0.0978504189595176,-2.61535443698543,0.0843421204430936,"Guild",FALSE,"Wild","Vertebrate",NA,"No-flying","No_crop","Temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",34,34,147,NA,NA,3,"Cunningham, S. A.",1991,"EXPERIMENTAL-EVIDENCE FOR POLLINATION OF BANKSIA SPP BY NONFLYING MAMMALS","10.1007/bf00323784","Gembrook State Forest","Temperate Broadleaf & Mixed Forests","Forest","Vertebrate Diurnal No-flying excluded","all visitors","Proteaceae","Banksia integrifolia var. Integrifolia","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",67,NA,45,22,NA,NA,NA,55.5,23.5,NA,0.54,1.3,NA,NA,NA,"Australia",NA,NA,"Banksia",0.859382599602275,3.62243012354966,6.09754048777046,0.065269011235129,0.259469807990232,-6.91942525392261,0.424978602338126,"Guild",FALSE,"Wild","Vertebrate","Diurnal","No-flying","No_crop","Temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
