"","X","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Ratto_Vert","Plant.species.family","Plant.species","Pollinator.variable.measure","Reproductive.succes.measure","Response","Nc.visits","Nt.visits","Escala_visitas","Nc.sp..Poll","Nt.sp..Poll","Obs.Exp","N","Escala.N","N.control","N.treat","Measure.used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas.C","Visitas.T","Unidad.de.tiempo.de.visitas","Country","Obs","Tiempo.muestreo","Genus","SD_C","SD_T","cv_c","cv_t","yi","vi","Guild_sp","Exp_no.exp","Managed_Wild","Vert_Invert","Diurn_Noctur","Flying_Noflying","Cultivo","Biomes"
"11",118,"568",28,1,"Carpenter, F. L.",1976,"PLANT-POLLINATOR INTERACTIONS IN HAWAII - POLLINATION ENERGETICS OF METROSIDEROS-COLLINA (MYRTACEAE)","10.2307/1935040","Hawaii","Tropical & Subtropical Grasslands, Savannas & Shrublands","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Myrtaceae","Metrosideros collina","Pollinator guild diversity","seed set %","positive",NA,NA,NA,NA,NA,"Exp",48,NA,26,22,NA,NA,NA,55.3,38.9,"%",4.41,5.48,NA,NA,NA,"Hawaii",NA,NA,"Metrosideros",22.4866760549442,25.7034783638324,0.406630670071323,0.660757798556103,-0.67187611670754,0.0886183497098548,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Tropical"
"12",119,"585",29,1,"Carvalheiro, Luisa G.; Seymour, Colleen L.; Veldtman, Ruan; Nicolson, Susan W.",2010,"Pollination services decline with distance from natural habitat even in biodiversity-rich areas","10.1111/j.1365-2664.2010.01829.x","NE South Africa","Tropical & Subtropical Grasslands, Savannas & Shrublands","Agricultural","Invertebrate flying exclusion","flying pollinators",NA,"Anacardiaceae","Mangifera indica","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",73,"inflorescence",42,31,NA,NA,NA,100,57,"%",NA,NA,NA,NA,NA,"South Africa",NA,NA,"Mangifera",39.1,26.676,NA,NA,-1.23666093053609,0.0665424531004089,"Guild","FALSE","Wild","Invertebrate","NA","Flying","Crop","Tropical"
"13",121,NA,NA,2,"Celebrezze, T.; Paton, D. C.",2004,"Do introduced honeybees (Apis mellifera, Hymenoptera) provide full pollination service to bird-adapted Australian plants with small flowers? An experimental study of Brachyloma ericoides (Epacridaceae)","10.1111/j.1442-9993.2003.01328.x","Cox Scrub Conservation Park","Temperate Broadleaf & Mixed Forests","Shrubland","Vertebrate Diurnal flying exclusion","all visitors",NA,"Epacridaceae","Brachyloma ericoides","Pollinator guild diversity","fruit set","positive",NA,NA,NA,NA,NA,"Exp",18,NA,10,8,NA,NA,NA,21,12.3,"%",2,2,NA,NA,NA,"Australia",NA,NA,"Brachyloma",6.32455532033676,5.65685424949238,0.301169300968417,0.459906849552226,-1.37127813316319,0.277233436624764,"Guild","FALSE","Wild","Vertebrate","Diurnal","Flying","No_crop","Temperate"
"14",123,"681",32,1,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7",NA,"Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",6,"replicates",3,3,NA,NA,NA,100,57,"%",NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Cucumis",39.1,26.676,NA,NA,-1.02508267535532,0.754232874276136,"Species","TRUE","Wild","Invertebrate","NA","Flying","Crop","Deserts"
"15",124,NA,NA,2,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12",NA,"Cucurbitaceae","Cucumis sativus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",6,"replicates",3,3,NA,NA,NA,121.19,75.1,NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Cucumis",47.38529,35.1468,NA,NA,-0.881517143956364,0.731422706257415,"Species","TRUE","Wild","Invertebrate","NA","Flying","Crop","Deserts"
"16",125,NA,NA,3,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp2","all.sp7",NA,"Rosaceae","Prunus cerasus","Pollinator species richness","fruit number","positive",NA,NA,NA,"7","2","Obs",100,"flower",50,50,NA,NA,NA,30.8,12.06,"%",NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Prunus",12.0428,5.64408,NA,NA,-1.97739312051783,0.0595504177653561,"Species","TRUE","Wild","Invertebrate","NA","Flying","Crop","Deserts"
"17",126,NA,NA,4,"Christmann, Stefanie; Aw-Hassan, Aden; Rajabov, Toshpulot; Khamraev, Aloviddin S.; Tsivelikas, Athanasios",2017,"Farming with alternative pollinators increases yields and incomes of cucumber and sour cherry","10.1007/s13593-017-0433-y","Parkent and","Deserts & Xeric Shrublands","Agricultural","all.sp1","all.sp12",NA,"Rosaceae","Prunus cerasus","Pollinator species richness","fruit weight","positive",NA,NA,NA,"12","1","Obs",21,"fruit",15,6,NA,NA,NA,2.36,2.09,NA,NA,NA,NA,NA,NA,"Uzbekistan",NA,NA,"Prunus",0.92276,0.97812,NA,NA,-0.276411321259914,0.235152457583825,"Species","TRUE","Wild","Invertebrate","NA","Flying","Crop","Deserts"
"18",131,"723",35,1,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors",NA,"Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","fruit set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,21.6,19.5,"%",4.05,5.42,NA,NA,NA,"South Africa",NA,NA,"Kumara",16.6985777837515,22.3472324908477,0.773082304803311,1.14601192260758,-0.103939648771795,0.117805933096865,"Guild","FALSE","Wild","Vertebrate","Diurnal","Both","No_crop","Mediterranean"
"19",132,NA,NA,2,"Cousins, S. R.",2013,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","10.1016/j.sajb.2013.02.174","Cape","Mediterranean Forests, Woodlands & Scrub","Shrubland","Vertebrate Diurnal flying/no-flying excluded","all visitors",NA,"Asphodelaceae","Kumara plicatilis","Pollinator guild diversity","seed set","neutral",NA,NA,NA,NA,NA,"Exp",34,NA,17,17,NA,NA,NA,15,12.07,NA,1.95,2.5,NA,NA,NA,"South Africa",NA,NA,"Kumara",8.04005596995444,10.3077640640442,0.536003731330296,0.853998679705398,-0.30947473959418,0.119055509035984,"Guild","FALSE","Wild","Vertebrate","Diurnal","Both","No_crop","Mediterranean"
"20",133,"741",36,1,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","vertebrate","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2561,NA,1561,1000,NA,NA,NA,1.9,0.3,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.7429,0.1404,NA,NA,-2.72661858562867,0.00309208881145592,"Guild","FALSE","Wild","NA","Nocturnal","NA","No_crop","Tropical"
"21",134,NA,NA,2,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","vertebrate","Fabaceae","Inga vera","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2561,NA,1561,1000,NA,NA,NA,1.9,1.4,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.7429,0.6552,NA,NA,-0.704065191226494,0.00173739511407231,"Guild","FALSE","Wild","NA","Diurnal","NA","No_crop","Tropical"
"22",135,NA,NA,3,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","vertebrate","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",44,NA,30,14,NA,NA,NA,8.8,3.3,NA,2.11,1.57,NA,NA,NA,"Brazil",NA,NA,"Inga",11.556945963359,5.87440209723509,1.31328931401807,1.780121847647,-0.532436030204264,0.107983360742128,"Guild","FALSE","Wild","NA","Nocturnal","NA","No_crop","Tropical"
"23",136,NA,NA,4,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","vertebrate","Fabaceae","Inga vera","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",33,NA,30,3,NA,NA,NA,8.8,8.2,NA,2.11,3.12,NA,NA,NA,"Brazil",NA,NA,"Inga",11.556945963359,5.4039985196149,1.31328931401807,0.659024209709134,-0.0519758254718044,0.366707598279295,"Guild","FALSE","Wild","NA","Diurnal","NA","No_crop","Tropical"
"24",137,NA,NA,5,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","vertebrate","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2493,NA,1493,1000,NA,NA,NA,1.1,0.2,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.4301,0.0936,NA,NA,-2.66112761404434,0.00309008923124015,"Guild","FALSE","Wild","NA","Nocturnal","NA","No_crop","Tropical"
"25",138,NA,NA,6,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","vertebrate","Fabaceae","Inga striata","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2493,NA,1493,1000,NA,NA,NA,0.011,0.01,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.004301,0.00468,NA,NA,-0.224305242245293,0.00167988318701019,"Guild","FALSE","Wild","NA","Diurnal","NA","No_crop","Tropical"
"26",139,NA,NA,7,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","vertebrate","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","16","Exp",19,NA,17,2,NA,NA,NA,8.8,6.5,NA,2.48,3.53,NA,NA,NA,"Brazil",NA,NA,"Inga",10.2253019515318,4.99217387517703,1.16196613085589,0.768026750027235,-0.219815946569578,0.560095083368772,"Guild","FALSE","Wild","NA","Nocturnal","NA","No_crop","Tropical"
"27",140,NA,NA,8,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","vertebrate","Fabaceae","Inga striata","Pollinator species diversity","seed set","positive",NA,NA,NA,"33","17","Exp",27,NA,17,10,NA,NA,NA,8.8,10.8,NA,2.48,2.44,NA,NA,NA,"Brazil",NA,NA,"Inga",10.2253019515318,7.71595749081085,1.16196613085589,0.714440508408412,0.206320048715193,0.159611825013651,"Guild","FALSE","Wild","NA","Diurnal","NA","No_crop","Tropical"
"28",141,NA,NA,9,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Nocturnal exclusion","all visitors","vertebrate","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","16","Exp",2434,NA,1447,987,NA,NA,NA,1.5,0.2,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.5865,0.0936,NA,NA,-2.8490507663593,0.00337169465776002,"Guild","FALSE","Wild","NA","Nocturnal","NA","No_crop","Tropical"
"29",142,NA,NA,10,"Cruz-Neto, Oswaldo; Machado, Isabel C.; Galetto, Leonardo; Lopes, Ariadna V.",2015,"The influence of nectar production and floral visitors on the female reproductive success of Inga (Fabaceae): a field experiment","10.1111/boj.12236","Coimbra Forest","Tropical & Subtropical Moist Broadleaf Forests","Forest","Diurnal exclusion","all visitors","vertebrate","Fabaceae","Inga ingoides","Pollinator species diversity","fruit set","positive",NA,NA,NA,"33","17","Exp",2406,NA,1447,959,NA,NA,NA,0.015,0.0136,"%",NA,NA,NA,NA,NA,"Brazil",NA,NA,"Inga",0.005865,0.0063648,NA,NA,-0.23060448597999,0.0017448890823629,"Guild","FALSE","Wild","NA","Diurnal","NA","No_crop","Tropical"
